,Title,Price,Rating,Stock
0,A Light in the Attic,51.77,Three,out of stock
1,Tipping the Velvet,53.74,One,out of stock
2,Soumission,50.1,One,out of stock
3,Sharp Objects,47.82,Four,out of stock
4,Sapiens: A Brief History of Humankind,54.23,Five,out of stock
5,The Requiem Red,22.65,One,out of stock
6,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four,out of stock
7,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three,out of stock
8,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four,out of stock
9,The Black Maria,52.15,One,out of stock
10,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two,out of stock
11,Shakespeare's Sonnets,20.66,Four,out of stock
12,Set Me Free,17.46,Five,out of stock
13,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five,out of stock
14,Rip it Up and Start Again,35.02,Five,out of stock
15,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three,out of stock
16,Olio,23.88,One,out of stock
17,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One,out of stock
18,Libertarianism for Beginners,51.33,Two,out of stock
19,It's Only the Himalayas,45.17,Two,out of stock
20,In Her Wake,12.84,One,out of stock
21,How Music Works,37.32,Two,out of stock
22,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,Three,out of stock
23,Chase Me (Paris Nights #2),25.27,Five,out of stock
24,Black Dust,34.53,Five,out of stock
25,Birdsong: A Story in Pictures,54.64,Three,out of stock
26,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,Three,out of stock
27,Aladdin and His Wonderful Lamp,53.13,Three,out of stock
28,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,Five,out of stock
29,Wall and Piece,44.18,Four,out of stock
30,The Four Agreements: A Practical Guide to Personal Freedom,17.66,Five,out of stock
31,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,Three,out of stock
32,The Elephant Tree,23.82,Five,out of stock
33,The Bear and the Piano,36.89,One,out of stock
34,Sophie's World,15.94,Five,out of stock
35,Penny Maybe,33.29,Three,out of stock
36,Maude (1883-1993):She Grew Up with the country,18.02,Two,out of stock
37,"In a Dark, Dark Wood",19.63,One,out of stock
38,Behind Closed Doors,52.22,Four,out of stock
39,You can't bury them all: Poems,33.63,Two,out of stock
40,Slow States of Collapse: Poems,57.31,Three,out of stock
41,Reasons to Stay Alive,26.41,Two,out of stock
42,Private Paris (Private #10),47.61,Five,out of stock
43,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,Five,out of stock
44,Without Borders (Wanderlove #1),45.07,Two,out of stock
45,When We Collided,31.77,One,out of stock
46,"We Love You, Charlie Freeman",50.27,Five,out of stock
47,Untitled Collection: Sabbath Poems 2014,14.27,Four,out of stock
48,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,Four,out of stock
49,Unicorn Tracks,18.78,Three,out of stock
50,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,One,out of stock
51,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,One,out of stock
52,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,Three,out of stock
53,This One Summer,19.49,Four,out of stock
54,Thirst,17.27,Five,out of stock
55,The Torch Is Passed: A Harding Family Story,19.09,One,out of stock
56,The Secret of Dreadwillow Carse,56.13,One,out of stock
57,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,One,out of stock
58,The Past Never Ends,56.5,Four,out of stock
59,The Natural History of Us (The Fine Art of Pretending #2),45.22,Three,out of stock
60,The Nameless City (The Nameless City #1),38.16,Four,out of stock
61,The Murder That Never Was (Forensic Instincts #5),54.11,Three,out of stock
62,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,Four,out of stock
63,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,Four,out of stock
64,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,Three,out of stock
65,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,Five,out of stock
66,The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,One,out of stock
67,The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,One,out of stock
68,The Death of Humanity: and the Case for Life,58.11,Four,out of stock
69,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,Three,out of stock
70,The Art Forger,40.76,Three,out of stock
71,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,One,out of stock
72,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,Five,out of stock
73,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,Four,out of stock
74,Soul Reader,39.58,Two,out of stock
75,Security,39.25,Two,out of stock
76,"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,Three,out of stock
77,"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,Two,out of stock
78,Reskilling America: Learning to Labor in the Twenty-First Century,19.83,Two,out of stock
79,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,Three,out of stock
80,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,Five,out of stock
81,Princess Between Worlds (Wide-Awake Princess #5),13.34,Five,out of stock
82,"Pop Gun War, Volume 1: Gift",18.97,One,out of stock
83,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,Two,out of stock
84,Patience,10.16,Three,out of stock
85,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,Four,out of stock
86,orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,One,out of stock
87,Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,One,out of stock
88,On a Midnight Clear,14.07,Three,out of stock
89,Obsidian (Lux #1),14.86,Two,out of stock
90,My Paris Kitchen: Recipes and Stories,33.37,Two,out of stock
91,Masks and Shadows,56.4,Two,out of stock
92,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,Four,out of stock
93,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,Two,out of stock
94,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,Three,out of stock
95,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,Two,out of stock
96,"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,One,out of stock
97,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,Two,out of stock
98,Join,35.67,Five,out of stock
99,In the Country We Love: My Family Divided,22.0,Four,out of stock
